Player,Team,Rating,Original_Pos,Group,Sub_Pos
Merlin Röhl,SC Freiburg,74,CAM,MID,CAM
Hugo Bueno,Wolverhampton Wanderers,74,LB,DEF,LB
Tim Iroegbunam,Everton,74,CDM,MID,DM
Diego Coppola,Brighton & Hove Albion,74,CB,DEF,CB
Brajan Gruda,Brighton & Hove Albion,74,CAM,MID,CAM
Chemsdine Talbi,Sunderland,74,RW,FWD,RW
Tyler Dibling,Everton,74,RM,MID,RM
Fer López,Wolverhampton Wanderers,73,RW,FWD,RW
Jason Steele,Brighton & Hove Albion,73,GK,GK,GK
Adam Smith,AFC Bournemouth,73,RB,DEF,RB
Benjamin Lecomte,Fulham,74,GK,GK,GK
Dominic Calvert-Lewin,Leeds United,74,ST,FWD,ST
Kalvin Phillips,Manchester City,74,CDM,MID,DM
Jack Harrison,Leeds United,73,LW,FWD,LW
Mark Travers,Everton,72,GK,GK,GK
Zian Flemming,Burnley,73,ST,FWD,ST
Illan Meslier,Leeds United,72,GK,GK,GK
Hjalmar Ekdal,Burnley,72,CB,DEF,CB
Armando Broja,Burnley,72,ST,FWD,ST
Yerson Mosquera,Wolverhampton Wanderers,72,CB,DEF,CB
Rodrigo Gomes,Wolverhampton Wanderers,73,LW,FWD,LW
David Møller Wolfe,Wolverhampton Wanderers,73,LB,DEF,LB
Antoni Milambo,Brentford,73,CM,MID,CM
James McAtee,Nottingham Forest,73,RM,MID,RM
Freddie Potts,West Ham United,72,CDM,MID,DM
Kota Takai,Tottenham Hotspur,72,CB,DEF,CB
Eliezer Mayenda,Sunderland,72,ST,FWD,ST
Soungoutou Magassa,West Ham United,73,CDM,MID,DM
Josh King,Fulham,73,CAM,MID,CAM
Jair Cunha,Nottingham Forest,74,CB,DEF,CB
James Milner,Brighton & Hove Albion,73,CM,MID,CM
Karl Darlow,Leeds United,73,GK,GK,GK
Tom Cairney,Fulham,74,CM,MID,CM
Matt Doherty,Wolverhampton Wanderers,74,CB,DEF,CB
Willy Boly,Nottingham Forest,73,CB,DEF,CB
Jamaal Lascelles,Newcastle United,73,CB,DEF,CB
Emil Krafth,Newcastle United,73,CB,DEF,CB
Josh Laurent,Burnley,73,CDM,MID,DM
Joe Worrall,Burnley,73,CB,DEF,CB
Josh Dasilva,Brentford,72,CM,MID,CM
Axel Tuanzebe,Burnley,73,RB,DEF,RB
Lyle Foster,Burnley,73,ST,FWD,ST
Borna Sosa,Crystal Palace,73,LB,DEF,LB
Anthony Patterson,Sunderland,73,GK,GK,GK
Ki-Jana Hoever,Wolverhampton Wanderers,73,RB,DEF,RB
James Hill,AFC Bournemouth,72,CB,DEF,CB
Mike Trésor,Burnley,73,LM,MID,LM
Dennis Cirkin,Sunderland,72,LB,DEF,LB
Dan Neil,Sunderland,73,CDM,MID,DM
Chadi Riad,Crystal Palace,72,CB,DEF,CB
Lamare Bogarde,Aston Villa,72,CDM,MID,DM
Stefan Bajcetic,Liverpool,73,CDM,MID,DM
Bashir Humphreys,Burnley,73,LB,DEF,LB
Lewis Miley,Newcastle United,73,CM,MID,CM
Stefanos Tzimas,Brighton & Hove Albion,72,ST,FWD,ST
Andrés García,Aston Villa,73,RB,DEF,RB
Álex Jiménez,Milano FC,73,RB,DEF,RB
Charalampos Kostoulas,Brighton & Hove Albion,72,ST,FWD,ST
Jaydee Canvot,Crystal Palace,70,CB,DEF,CB
Nicolò Savona,Nottingham Forest,72,RB,DEF,RB
Ayden Heaven,Manchester United,69,CB,DEF,CB
Veljko Milosavljević,AFC Bournemouth,71,CB,DEF,CB
Harrison Reed,Fulham,72,CDM,MID,DM
Sam Byram,Leeds United,72,LB,DEF,LB
Luke O'Nien,Sunderland,72,CB,DEF,CB
Angus Gunn,Nottingham Forest,72,GK,GK,GK
John Victor,Nottingham Forest,71,GK,GK,GK
Nathan Patterson,Everton,71,RB,DEF,RB
Naouirou Ahamada,Crystal Palace,68,CM,MID,CM
William Osula,Newcastle United,71,ST,FWD,ST
Callum Marshall,West Ham United,66,ST,FWD,ST
Marc Guiu,Chelsea,71,ST,FWD,ST
Giovanni Leoni,Liverpool,69,CB,DEF,CB
Josh Acheampong,Chelsea,71,CB,DEF,CB
Tyrique George,Chelsea,71,LM,MID,LM
Luis Guilherme,West Ham United,71,RM,MID,RM
Justin Devenny,Crystal Palace,71,CAM,MID,CAM
Rio Ngumoha,Liverpool,68,LM,MID,LM
Tom Heaton,Manchester United,67,GK,GK,GK
John Ruddy,Newcastle United,68,GK,GK,GK
Séamus Coleman,Everton,70,RB,DEF,RB
Ashley Barnes,Burnley,70,ST,FWD,ST
Nathaniel Clyne,Crystal Palace,70,RB,DEF,RB
Daniel Bentley,Wolverhampton Wanderers,71,GK,GK,GK
Václav Hladký,Burnley,69,GK,GK,GK
Marcus Bettinelli,Manchester City,70,GK,GK,GK
Freddie Woodman,Liverpool,71,GK,GK,GK
Brandon Austin,Tottenham Hotspur,67,GK,GK,GK
Hannes Delcroix,Burnley,71,CB,DEF,CB
Andy Irving,West Ham United,70,CM,MID,CM
Will Dennis,AFC Bournemouth,67,GK,GK,GK
Ian Poveda,Sunderland,69,RW,FWD,RW
Gabriel Slonina,Chelsea,68,GK,GK,GK
Timothée Pembélé,Sunderland,70,RB,DEF,RB
Oliver Sonne,Burnley,70,RB,DEF,RB
Myles Peart-Harris,Brentford,67,RM,MID,RM
Hákon Valdimarsson,Brentford,68,GK,GK,GK
